order_id,store_code,order_date,gross_sales,promo_deductions,guest_count
QU-000176,STR-B01,2024-05-11,242.05,0.0,10
QU-000177,STR-B01,2024-05-11,298.13,0.0,6
QU-000178,STR-B01,2024-05-11,298.42,0.0,2
QU-000179,STR-B01,2024-05-12,339.31,0.0,1
QU-000180,STR-B01,2024-05-12,379.71,30.38,1
QU-000181,STR-B01,2024-05-12,305.05,0.0,4
QU-000182,STR-B01,2024-05-12,397.76,0.0,1
QU-000183,STR-B01,2024-05-12,214.57,0.0,3
QU-000184,STR-B01,2024-05-12,266.47,0.0,3
QU-000185,STR-B01,2024-05-13,461.01,36.88,9
QU-000186,STR-B01,2024-05-13,364.81,0.0,3
QU-000187,STR-B01,2024-05-13,491.23,0.0,2
QU-000188,STR-B01,2024-05-13,364.48,43.74,3
QU-000189,STR-B01,2024-05-14,503.52,0.0,4
QU-000190,STR-B01,2024-05-14,235.06,18.8,3
QU-000191,STR-B01,2024-05-14,117.98,14.16,5
QU-000192,STR-B01,2024-05-14,104.26,0.0,8
QU-000193,STR-B01,2024-05-14,453.07,54.37,8
QU-000194,STR-B01,2024-05-15,259.71,31.17,9
QU-000195,STR-B01,2024-05-15,117.65,14.12,10
QU-000196,STR-B01,2024-05-16,366.3,0.0,7
QU-000197,STR-B01,2024-05-16,318.32,25.47,6
QU-000198,STR-B01,2024-05-16,111.34,13.36,4
QU-000199,STR-B01,2024-05-16,270.06,0.0,7
QU-000200,STR-B01,2024-05-16,329.58,0.0,2
QU-000201,STR-B01,2024-05-17,108.05,0.0,8
QU-000202,STR-B01,2024-05-17,513.82,0.0,9
QU-000203,STR-B01,2024-05-17,384.94,30.8,2
QU-000204,STR-B01,2024-05-17,487.12,0.0,10
QU-000205,STR-B01,2024-05-17,97.69,11.72,1
QU-000206,STR-B01,2024-05-17,349.19,0.0,1
QU-000207,STR-B01,2024-05-18,236.75,18.94,3
QU-000208,STR-B01,2024-05-18,261.06,0.0,8
QU-000209,STR-B01,2024-05-18,93.13,0.0,5
QU-000210,STR-B01,2024-05-18,301.75,36.21,6
QU-000211,STR-B01,2024-05-19,358.19,42.98,9
QU-000212,STR-B01,2024-05-19,354.9,0.0,4
QU-000213,STR-B01,2024-05-19,162.34,0.0,9
QU-000214,STR-B01,2024-05-19,140.4,0.0,3
QU-000215,STR-B01,2024-05-19,155.65,0.0,3
QU-000216,STR-B01,2024-05-19,148.13,11.85,3
QU-000217,STR-B01,2024-05-19,504.55,0.0,5
QU-000218,STR-B01,2024-05-20,138.22,16.59,4
QU-000219,STR-B01,2024-05-20,326.79,0.0,8
QU-000220,STR-B01,2024-05-21,215.41,0.0,9
QU-000221,STR-B01,2024-05-21,320.91,0.0,6
QU-000222,STR-B01,2024-05-21,348.07,27.85,9
QU-000223,STR-B01,2024-05-21,112.41,8.99,10
QU-000224,STR-B01,2024-05-22,406.67,0.0,7
QU-000225,STR-B01,2024-05-22,183.17,14.65,10
QU-000226,STR-B01,2024-05-22,449.41,0.0,8
QU-000227,STR-B01,2024-05-23,244.57,0.0,1
QU-000228,STR-B01,2024-05-23,210.46,0.0,9
QU-000229,STR-B01,2024-05-23,194.92,15.59,6
QU-000230,STR-B01,2024-05-23,106.64,8.53,8
QU-000231,STR-B01,2024-05-24,355.34,0.0,4
QU-000232,STR-B01,2024-05-24,139.69,0.0,2
QU-000233,STR-B01,2024-05-24,360.96,0.0,4
QU-000234,STR-B01,2024-05-24,419.33,50.32,9
QU-000235,STR-B01,2024-05-25,211.58,0.0,4
QU-000236,STR-B01,2024-05-25,137.3,0.0,7
QU-000237,STR-B01,2024-05-25,339.7,0.0,1
QU-000238,STR-B01,2024-05-25,139.68,0.0,5
QU-000239,STR-B01,2024-05-26,103.33,12.4,4
QU-000240,STR-B01,2024-05-26,515.26,0.0,6
QU-000241,STR-B01,2024-05-26,169.8,13.58,3
QU-000242,STR-B01,2024-05-26,514.07,41.13,1
QU-000243,STR-B01,2024-05-26,385.23,0.0,2
QU-000244,STR-B01,2024-05-26,515.57,0.0,3
QU-000245,STR-B01,2024-05-26,417.03,33.36,4
QU-000246,STR-B01,2024-05-27,140.3,0.0,5
QU-000247,STR-B01,2024-05-27,112.57,13.51,3
QU-000248,STR-B01,2024-05-27,171.83,0.0,2
QU-000249,STR-B01,2024-05-28,126.86,10.15,2
QU-000250,STR-B01,2024-05-28,348.89,41.87,5
QU-000251,STR-B01,2024-05-28,226.07,0.0,1
QU-000252,STR-B01,2024-05-28,233.81,0.0,10
QU-000253,STR-B01,2024-05-28,376.33,45.16,6
QU-000254,STR-B01,2024-05-29,328.25,39.39,1
QU-000255,STR-B01,2024-05-29,92.44,0.0,7
QU-000256,STR-B01,2024-05-30,433.11,0.0,6
QU-000257,STR-B01,2024-05-30,157.64,12.61,4
QU-000258,STR-B01,2024-05-30,246.86,0.0,2
QU-000259,STR-B01,2024-05-30,292.89,23.43,4
QU-000260,STR-B01,2024-05-30,245.45,0.0,2
QU-000261,STR-B01,2024-05-31,370.43,0.0,3
QU-000262,STR-B01,2024-05-31,392.95,47.15,7
QU-000263,STR-B01,2024-05-31,295.94,0.0,1
QU-000264,STR-B01,2024-05-31,260.65,0.0,7
QU-000265,STR-B01,2024-05-31,99.33,0.0,10
QU-000266,STR-B01,2024-06-01,505.75,0.0,8
QU-000267,STR-B01,2024-06-01,279.33,0.0,2
QU-000268,STR-B01,2024-06-01,375.65,45.08,1
QU-000269,STR-B01,2024-06-01,247.9,0.0,8
QU-000270,STR-B01,2024-06-01,234.97,0.0,3
QU-000271,STR-B01,2024-06-02,461.41,55.37,10
QU-000272,STR-B01,2024-06-02,454.23,36.34,6
QU-000273,STR-B01,2024-06-02,160.18,0.0,6
QU-000274,STR-B01,2024-06-02,316.58,37.99,10
QU-000275,STR-B01,2024-06-02,392.35,47.08,10
QU-000276,STR-B01,2024-06-02,437.1,0.0,7
QU-000277,STR-B01,2024-06-02,440.74,52.89,4
QU-000278,STR-B01,2024-06-03,295.26,0.0,6
QU-000279,STR-B01,2024-06-03,462.28,0.0,2
QU-000280,STR-B01,2024-06-04,200.97,0.0,2
QU-000281,STR-B01,2024-06-04,157.6,18.91,5
QU-000282,STR-B01,2024-06-05,471.34,37.71,8
QU-000283,STR-B01,2024-06-05,183.24,0.0,8
QU-000284,STR-B01,2024-06-05,121.97,9.76,5
QU-000285,STR-B01,2024-06-05,129.74,0.0,7
QU-000286,STR-B01,2024-06-06,346.76,0.0,6
QU-000287,STR-B01,2024-06-06,371.5,44.58,6
QU-000288,STR-B01,2024-06-06,294.5,0.0,4
QU-000289,STR-B01,2024-06-06,199.29,0.0,2
QU-000290,STR-B01,2024-06-06,491.25,39.3,2
QU-000291,STR-B01,2024-06-07,102.44,0.0,4
QU-000292,STR-B01,2024-06-07,369.61,0.0,2
QU-000293,STR-B01,2024-06-07,134.52,0.0,8
QU-000294,STR-B01,2024-06-07,181.68,0.0,2
QU-000295,STR-B01,2024-06-07,375.81,45.1,2
QU-000296,STR-B01,2024-06-07,285.68,0.0,4
QU-000297,STR-B01,2024-06-07,504.87,40.39,10
QU-000298,STR-B01,2024-06-08,243.79,19.5,5
QU-000299,STR-B01,2024-06-08,95.25,0.0,10
QU-000300,STR-B01,2024-06-08,117.44,0.0,5
QU-000301,STR-B01,2024-06-08,457.99,36.64,1
QU-000302,STR-B01,2024-06-08,395.13,31.61,9
QU-000303,STR-B01,2024-06-08,442.56,0.0,5
QU-000304,STR-B01,2024-06-08,122.3,9.78,5
QU-000305,STR-B01,2024-06-09,206.63,0.0,5
QU-000306,STR-B01,2024-06-09,502.97,0.0,2
QU-000307,STR-B01,2024-06-09,199.0,15.92,6
QU-000308,STR-B01,2024-06-09,467.39,37.39,7
QU-000309,STR-B01,2024-06-09,152.13,18.26,3
QU-000310,STR-B01,2024-06-10,188.39,0.0,7
QU-000311,STR-B01,2024-06-10,474.66,0.0,3
QU-000312,STR-B01,2024-06-10,409.21,0.0,7
QU-000313,STR-B01,2024-06-11,262.14,0.0,9
QU-000314,STR-B01,2024-06-11,436.88,52.43,6
QU-000315,STR-B01,2024-06-11,132.05,0.0,10
QU-000316,STR-B01,2024-06-11,153.99,0.0,7
QU-000317,STR-B01,2024-06-12,227.0,0.0,8
QU-000318,STR-B01,2024-06-12,213.25,0.0,6
QU-000319,STR-B01,2024-06-12,170.98,0.0,2
QU-000320,STR-B01,2024-06-12,497.02,0.0,10
QU-000321,STR-B01,2024-06-12,430.78,0.0,7
QU-000322,STR-B01,2024-06-13,425.03,0.0,2
QU-000323,STR-B01,2024-06-13,131.34,0.0,8
QU-000324,STR-B01,2024-06-14,490.48,0.0,7
QU-000325,STR-B01,2024-06-14,409.42,0.0,2
QU-000326,STR-B01,2024-06-14,415.47,0.0,8
QU-000327,STR-B01,2024-06-14,323.63,0.0,8
QU-000328,STR-B01,2024-06-15,337.94,0.0,8
QU-000329,STR-B01,2024-06-15,411.51,0.0,2
QU-000330,STR-B01,2024-06-15,329.69,39.56,4
QU-000331,STR-B01,2024-06-15,513.09,0.0,2
QU-000332,STR-B01,2024-06-15,389.06,0.0,5
QU-000333,STR-B01,2024-06-15,364.65,29.17,5
QU-000334,STR-B01,2024-06-15,450.26,0.0,4
QU-000335,STR-B01,2024-06-16,391.92,0.0,10
QU-000336,STR-B01,2024-06-16,291.58,23.33,10
QU-000337,STR-B01,2024-06-16,295.46,0.0,7
QU-000338,STR-B01,2024-06-16,305.84,0.0,3
QU-000339,STR-B01,2024-06-16,449.52,0.0,4
QU-000340,STR-B01,2024-06-16,122.9,9.83,6
QU-000341,STR-B01,2024-06-17,199.27,0.0,10
QU-000342,STR-B01,2024-06-17,182.13,0.0,2
QU-000343,STR-B01,2024-06-18,312.89,37.55,7
QU-000344,STR-B01,2024-06-18,329.51,26.36,5
QU-000345,STR-B01,2024-06-19,407.23,0.0,3
QU-000346,STR-B01,2024-06-19,332.8,0.0,6
QU-000347,STR-B01,2024-06-20,347.55,27.8,10
QU-000348,STR-B01,2024-06-20,155.86,0.0,9
QU-000349,STR-B01,2024-06-21,282.17,0.0,7
QU-000350,STR-B01,2024-06-21,261.23,0.0,7
QU-000351,STR-B01,2024-06-21,496.92,59.63,10
QU-000352,STR-B01,2024-06-21,363.1,0.0,5
QU-000353,STR-B01,2024-06-21,123.09,0.0,2
QU-000354,STR-B01,2024-06-21,346.64,0.0,1
QU-000355,STR-B01,2024-06-22,166.33,13.31,9
QU-000356,STR-B01,2024-06-22,367.81,44.14,1
QU-000357,STR-B01,2024-06-22,309.52,37.14,1
QU-000358,STR-B01,2024-06-22,259.31,0.0,2
QU-000359,STR-B01,2024-06-22,417.72,0.0,2
QU-000360,STR-B01,2024-06-22,287.95,34.55,6
QU-000361,STR-B01,2024-06-22,349.15,41.9,3
QU-000362,STR-B01,2024-06-23,180.16,0.0,3
QU-000363,STR-B01,2024-06-23,231.61,18.53,8
QU-000364,STR-B01,2024-06-23,148.91,0.0,4
QU-000365,STR-B01,2024-06-23,313.21,0.0,7
QU-000366,STR-B01,2024-06-23,143.01,0.0,8
QU-000367,STR-B01,2024-06-24,501.93,0.0,2
QU-000368,STR-B01,2024-06-24,171.48,0.0,8
QU-000369,STR-B01,2024-06-25,171.11,0.0,6
QU-000370,STR-B01,2024-06-25,369.74,0.0,8
QU-000371,STR-B01,2024-06-25,461.05,0.0,2
QU-000372,STR-B01,2024-06-25,380.78,0.0,3
QU-000373,STR-B01,2024-06-25,95.1,0.0,3
QU-000374,STR-B01,2024-06-26,278.89,0.0,8
QU-000375,STR-B01,2024-06-26,202.19,0.0,9
QU-000376,STR-B01,2024-06-27,118.17,14.18,5
QU-000377,STR-B01,2024-06-27,151.69,0.0,6
QU-000378,STR-B01,2024-06-27,518.44,0.0,6
QU-000379,STR-B01,2024-06-27,187.28,0.0,10
QU-000380,STR-B01,2024-06-27,246.58,29.59,8
QU-000381,STR-B01,2024-06-28,351.35,42.16,4
QU-000382,STR-B01,2024-06-28,260.01,0.0,8
QU-000383,STR-B01,2024-06-28,180.67,21.68,6
QU-000384,STR-B01,2024-06-28,285.15,0.0,9
QU-000385,STR-B01,2024-06-28,400.31,0.0,7
QU-000386,STR-B01,2024-06-28,503.18,0.0,3
QU-000387,STR-B01,2024-06-28,340.69,0.0,4
QU-000388,STR-B01,2024-06-29,134.58,0.0,4
QU-000389,STR-B01,2024-06-29,371.91,0.0,2
QU-000390,STR-B01,2024-06-29,102.63,0.0,4
QU-000391,STR-B01,2024-06-29,250.37,0.0,3
QU-000392,STR-B01,2024-06-29,463.44,37.08,10
QU-000393,STR-B01,2024-06-29,209.94,25.19,5
QU-000394,STR-B01,2024-06-30,163.33,0.0,3
QU-000395,STR-B01,2024-06-30,167.98,0.0,1
QU-000396,STR-B01,2024-06-30,329.82,0.0,9
QU-000397,STR-B01,2024-06-30,413.62,33.09,1
QU-000398,STR-B02,2024-04-01,179.1,0.0,4
QU-000399,STR-B02,2024-04-01,296.42,35.57,6
QU-000400,STR-B02,2024-04-01,331.6,26.53,9
QU-000401,STR-B02,2024-04-01,178.19,21.38,3
QU-000402,STR-B02,2024-04-02,186.83,0.0,7
QU-000403,STR-B02,2024-04-02,440.78,52.89,3
QU-000404,STR-B02,2024-04-03,251.59,0.0,9
QU-000405,STR-B02,2024-04-03,92.81,11.14,4
QU-000406,STR-B02,2024-04-03,281.94,0.0,2
QU-000407,STR-B02,2024-04-04,122.04,9.76,9
QU-000408,STR-B02,2024-04-04,219.69,26.36,9
QU-000409,STR-B02,2024-04-04,330.42,0.0,9
QU-000410,STR-B02,2024-04-05,174.86,0.0,8
QU-000411,STR-B02,2024-04-05,471.8,0.0,9
QU-000412,STR-B02,2024-04-05,143.02,0.0,4
QU-000413,STR-B02,2024-04-05,281.52,0.0,10
QU-000414,STR-B02,2024-04-06,260.15,0.0,6
QU-000415,STR-B02,2024-04-06,224.66,0.0,8
QU-000416,STR-B02,2024-04-06,458.22,0.0,1
QU-000417,STR-B02,2024-04-06,227.98,0.0,6
QU-000418,STR-B02,2024-04-06,228.42,27.41,9
QU-000419,STR-B02,2024-04-06,145.97,0.0,5
QU-000420,STR-B02,2024-04-07,376.87,45.22,1
QU-000421,STR-B02,2024-04-07,377.13,0.0,10
QU-000422,STR-B02,2024-04-07,370.32,0.0,9
QU-000423,STR-B02,2024-04-07,516.75,0.0,3
QU-000424,STR-B02,2024-04-08,301.63,36.2,9
QU-000425,STR-B02,2024-04-08,418.42,0.0,9
QU-000426,STR-B02,2024-04-08,299.12,0.0,4
QU-000427,STR-B02,2024-04-08,289.73,0.0,7
QU-000428,STR-B02,2024-04-09,133.14,0.0,4
QU-000429,STR-B02,2024-04-09,409.71,32.78,1
QU-000430,STR-B02,2024-04-09,253.97,20.32,8
QU-000431,STR-B02,2024-04-09,116.17,9.29,4
QU-000432,STR-B02,2024-04-10,128.96,15.48,2
QU-000433,STR-B02,2024-04-10,399.01,0.0,2
QU-000434,STR-B02,2024-04-10,515.36,61.84,6
QU-000435,STR-B02,2024-04-11,409.73,0.0,10
QU-000436,STR-B02,2024-04-11,195.31,0.0,2
QU-000437,STR-B02,2024-04-11,451.64,0.0,1
QU-000438,STR-B02,2024-04-11,189.06,15.12,10
QU-000439,STR-B02,2024-04-12,508.19,0.0,4
QU-000440,STR-B02,2024-04-12,298.83,0.0,1
QU-000441,STR-B02,2024-04-12,268.09,32.17,10
QU-000442,STR-B02,2024-04-12,148.96,0.0,1
QU-000443,STR-B02,2024-04-13,513.54,0.0,9
QU-000444,STR-B02,2024-04-13,145.72,11.66,3
QU-000445,STR-B02,2024-04-13,436.77,34.94,3
QU-000446,STR-B02,2024-04-13,446.09,35.69,5
QU-000447,STR-B02,2024-04-13,144.6,11.57,9
QU-000448,STR-B02,2024-04-13,206.11,16.49,4
QU-000449,STR-B02,2024-04-14,244.88,0.0,1
QU-000450,STR-B02,2024-04-14,420.14,0.0,3
QU-000451,STR-B02,2024-04-14,337.48,40.5,1
QU-000452,STR-B02,2024-04-14,234.17,0.0,7
QU-000453,STR-B02,2024-04-14,437.04,34.96,10
QU-000454,STR-B02,2024-04-15,145.64,11.65,3
QU-000455,STR-B02,2024-04-15,479.81,0.0,10
QU-000456,STR-B02,2024-04-16,294.97,35.4,1
QU-000457,STR-B02,2024-04-16,454.26,0.0,6
QU-000458,STR-B02,2024-04-16,94.8,11.38,2
QU-000459,STR-B02,2024-04-16,334.4,26.75,9
QU-000460,STR-B02,2024-04-17,209.4,16.75,6
QU-000461,STR-B02,2024-04-17,499.13,39.93,9
QU-000462,STR-B02,2024-04-17,425.31,34.02,5
QU-000463,STR-B02,2024-04-17,216.6,0.0,1
QU-000464,STR-B02,2024-04-18,201.93,0.0,2
QU-000465,STR-B02,2024-04-18,508.71,0.0,6
QU-000466,STR-B02,2024-04-18,270.53,0.0,1
QU-000467,STR-B02,2024-04-18,332.51,0.0,1
QU-000468,STR-B02,2024-04-19,403.62,32.29,6
QU-000469,STR-B02,2024-04-19,348.61,41.83,4
QU-000470,STR-B02,2024-04-19,105.24,0.0,2
QU-000471,STR-B02,2024-04-19,186.35,0.0,2
QU-000472,STR-B02,2024-04-20,465.44,0.0,9
QU-000473,STR-B02,2024-04-20,112.43,8.99,1
QU-000474,STR-B02,2024-04-20,335.49,0.0,5
QU-000475,STR-B02,2024-04-20,499.98,0.0,5
QU-000476,STR-B02,2024-04-20,313.23,0.0,1
QU-000477,STR-B02,2024-04-20,95.83,0.0,1
QU-000478,STR-B02,2024-04-21,215.94,17.28,5
QU-000479,STR-B02,2024-04-21,455.18,0.0,10
QU-000480,STR-B02,2024-04-21,288.64,34.64,4
