entry_id,location_code,account_code,account_name,posting_date,amount
GL-000050,LOC-01,6000,Labor - Hourly,2024-04-25,-533.89
GL-000051,LOC-01,5100,Food COGS,2024-04-26,-722.13
GL-000052,LOC-01,6000,Labor - Hourly,2024-04-26,-556.11
GL-000053,LOC-01,5100,Food COGS,2024-04-27,-375.66
GL-000054,LOC-01,6000,Labor - Hourly,2024-04-27,-362.92
GL-000055,LOC-01,5100,Food COGS,2024-04-28,-991.27
GL-000056,LOC-01,6000,Labor - Hourly,2024-04-28,-817.83
GL-000057,LOC-01,5100,Food COGS,2024-04-29,-763.1
GL-000058,LOC-01,6000,Labor - Hourly,2024-04-29,-705.28
GL-000059,LOC-01,5100,Food COGS,2024-04-30,-503.6
GL-000060,LOC-01,6000,Labor - Hourly,2024-04-30,-406.38
GL-000061,LOC-01,5100,Food COGS,2024-05-01,-729.24
GL-000062,LOC-01,6000,Labor - Hourly,2024-05-01,-631.45
GL-000063,LOC-01,5100,Food COGS,2024-05-02,-472.93
GL-000064,LOC-01,6000,Labor - Hourly,2024-05-02,-425.58
GL-000065,LOC-01,5100,Food COGS,2024-05-03,-998.8
GL-000066,LOC-01,6000,Labor - Hourly,2024-05-03,-958.96
GL-000067,LOC-01,5100,Food COGS,2024-05-04,-733.06
GL-000068,LOC-01,6000,Labor - Hourly,2024-05-04,-644.5
GL-000069,LOC-01,5100,Food COGS,2024-05-05,-1132.7
GL-000070,LOC-01,6000,Labor - Hourly,2024-05-05,-968.72
GL-000071,LOC-01,5100,Food COGS,2024-05-06,-571.04
GL-000072,LOC-01,6000,Labor - Hourly,2024-05-06,-494.08
GL-000073,LOC-01,5100,Food COGS,2024-05-07,-729.1
GL-000074,LOC-01,6000,Labor - Hourly,2024-05-07,-561.9
GL-000075,LOC-01,5100,Food COGS,2024-05-08,-545.13
GL-000076,LOC-01,6000,Labor - Hourly,2024-05-08,-530.37
GL-000077,LOC-01,5100,Food COGS,2024-05-09,-674.96
GL-000078,LOC-01,6000,Labor - Hourly,2024-05-09,-580.16
GL-000079,LOC-01,5100,Food COGS,2024-05-10,-1083.11
GL-000080,LOC-01,6000,Labor - Hourly,2024-05-10,-794.57
GL-000081,LOC-01,5100,Food COGS,2024-05-11,-679.15
GL-000082,LOC-01,6000,Labor - Hourly,2024-05-11,-619.29
GL-000083,LOC-01,5100,Food COGS,2024-05-12,-662.13
GL-000084,LOC-01,6000,Labor - Hourly,2024-05-12,-626.16
GL-000085,LOC-01,5100,Food COGS,2024-05-13,-844.88
GL-000086,LOC-01,6000,Labor - Hourly,2024-05-13,-692.54
GL-000087,LOC-01,5100,Food COGS,2024-05-14,-643.57
GL-000088,LOC-01,6000,Labor - Hourly,2024-05-14,-523.81
GL-000089,LOC-01,5100,Food COGS,2024-05-15,-335.8
GL-000090,LOC-01,6000,Labor - Hourly,2024-05-15,-300.77
GL-000091,LOC-01,5100,Food COGS,2024-05-16,-404.45
GL-000092,LOC-01,6000,Labor - Hourly,2024-05-16,-374.18
GL-000093,LOC-01,5100,Food COGS,2024-05-17,-594.52
GL-000094,LOC-01,6000,Labor - Hourly,2024-05-17,-508.23
GL-000095,LOC-01,5100,Food COGS,2024-05-18,-758.77
GL-000096,LOC-01,6000,Labor - Hourly,2024-05-18,-727.49
GL-000097,LOC-01,5100,Food COGS,2024-05-19,-1300.15
GL-000098,LOC-01,6000,Labor - Hourly,2024-05-19,-1038.28
GL-000099,LOC-01,5100,Food COGS,2024-05-20,-760.06
GL-000100,LOC-01,6000,Labor - Hourly,2024-05-20,-643.97
GL-000101,LOC-01,5100,Food COGS,2024-05-21,-626.51
GL-000102,LOC-01,6000,Labor - Hourly,2024-05-21,-577.24
GL-000103,LOC-01,5100,Food COGS,2024-05-22,-669.68
GL-000104,LOC-01,6000,Labor - Hourly,2024-05-22,-546.85
GL-000105,LOC-01,5100,Food COGS,2024-05-23,-781.79
GL-000106,LOC-01,6000,Labor - Hourly,2024-05-23,-621.49
GL-000107,LOC-01,5100,Food COGS,2024-05-24,-1200.13
GL-000108,LOC-01,6000,Labor - Hourly,2024-05-24,-920.14
GL-000109,LOC-01,5100,Food COGS,2024-05-25,-664.75
GL-000110,LOC-01,6000,Labor - Hourly,2024-05-25,-569.73
GL-000111,LOC-01,5100,Food COGS,2024-05-26,-811.43
GL-000112,LOC-01,6000,Labor - Hourly,2024-05-26,-742.7
GL-000113,LOC-01,5100,Food COGS,2024-05-27,-229.54
GL-000114,LOC-01,6000,Labor - Hourly,2024-05-27,-191.58
GL-000115,LOC-01,5100,Food COGS,2024-05-28,-433.91
GL-000116,LOC-01,6000,Labor - Hourly,2024-05-28,-420.91
GL-000117,LOC-01,5100,Food COGS,2024-05-29,-403.64
GL-000118,LOC-01,6000,Labor - Hourly,2024-05-29,-314.98
GL-000119,LOC-01,5100,Food COGS,2024-05-30,-890.93
GL-000120,LOC-01,6000,Labor - Hourly,2024-05-30,-793.94
GL-000121,LOC-01,5100,Food COGS,2024-05-31,-901.9
GL-000122,LOC-01,6000,Labor - Hourly,2024-05-31,-762.45
GL-000123,LOC-01,5100,Food COGS,2024-06-01,-710.05
GL-000124,LOC-01,6000,Labor - Hourly,2024-06-01,-604.15
GL-000125,LOC-01,5100,Food COGS,2024-06-02,-1107.33
GL-000126,LOC-01,6000,Labor - Hourly,2024-06-02,-952.32
GL-000127,LOC-01,5100,Food COGS,2024-06-03,-367.49
GL-000128,LOC-01,6000,Labor - Hourly,2024-06-03,-302.85
GL-000129,LOC-01,5100,Food COGS,2024-06-04,-589.67
GL-000130,LOC-01,6000,Labor - Hourly,2024-06-04,-488.57
GL-000131,LOC-01,5100,Food COGS,2024-06-05,-601.35
GL-000132,LOC-01,6000,Labor - Hourly,2024-06-05,-534.38
GL-000133,LOC-01,5100,Food COGS,2024-06-06,-783.27
GL-000134,LOC-01,6000,Labor - Hourly,2024-06-06,-641.75
GL-000135,LOC-01,5100,Food COGS,2024-06-07,-1105.77
GL-000136,LOC-01,6000,Labor - Hourly,2024-06-07,-859.39
GL-000137,LOC-01,5100,Food COGS,2024-06-08,-734.99
GL-000138,LOC-01,6000,Labor - Hourly,2024-06-08,-622.82
GL-000139,LOC-01,5100,Food COGS,2024-06-09,-1260.55
GL-000140,LOC-01,6000,Labor - Hourly,2024-06-09,-1089.11
GL-000141,LOC-01,5100,Food COGS,2024-06-10,-425.35
GL-000142,LOC-01,6000,Labor - Hourly,2024-06-10,-422.86
GL-000143,LOC-01,5100,Food COGS,2024-06-11,-534.94
GL-000144,LOC-01,6000,Labor - Hourly,2024-06-11,-447.69
GL-000145,LOC-01,5100,Food COGS,2024-06-12,-298.67
GL-000146,LOC-01,6000,Labor - Hourly,2024-06-12,-273.11
GL-000147,LOC-01,5100,Food COGS,2024-06-13,-576.77
GL-000148,LOC-01,6000,Labor - Hourly,2024-06-13,-532.83
GL-000149,LOC-01,5100,Food COGS,2024-06-14,-1035.59
GL-000150,LOC-01,6000,Labor - Hourly,2024-06-14,-990.67
GL-000151,LOC-01,5100,Food COGS,2024-06-15,-862.04
GL-000152,LOC-01,6000,Labor - Hourly,2024-06-15,-715.58
GL-000153,LOC-01,5100,Food COGS,2024-06-16,-654.87
GL-000154,LOC-01,6000,Labor - Hourly,2024-06-16,-533.41
GL-000155,LOC-01,5100,Food COGS,2024-06-17,-557.98
GL-000156,LOC-01,6000,Labor - Hourly,2024-06-17,-423.2
GL-000157,LOC-01,5100,Food COGS,2024-06-18,-674.77
GL-000158,LOC-01,6000,Labor - Hourly,2024-06-18,-511.65
GL-000159,LOC-01,5100,Food COGS,2024-06-19,-919.35
GL-000160,LOC-01,6000,Labor - Hourly,2024-06-19,-862.78
GL-000161,LOC-01,5100,Food COGS,2024-06-20,-723.54
GL-000162,LOC-01,6000,Labor - Hourly,2024-06-20,-565.78
GL-000163,LOC-01,5100,Food COGS,2024-06-21,-856.91
GL-000164,LOC-01,6000,Labor - Hourly,2024-06-21,-717.95
GL-000165,LOC-01,5100,Food COGS,2024-06-22,-751.9
GL-000166,LOC-01,6000,Labor - Hourly,2024-06-22,-557.33
GL-000167,LOC-01,5100,Food COGS,2024-06-23,-916.48
GL-000168,LOC-01,6000,Labor - Hourly,2024-06-23,-820.19
GL-000169,LOC-01,5100,Food COGS,2024-06-24,-464.99
GL-000170,LOC-01,6000,Labor - Hourly,2024-06-24,-380.53
GL-000171,LOC-01,5100,Food COGS,2024-06-25,-365.5
GL-000172,LOC-01,6000,Labor - Hourly,2024-06-25,-311.33
GL-000173,LOC-01,5100,Food COGS,2024-06-26,-637.25
GL-000174,LOC-01,6000,Labor - Hourly,2024-06-26,-586.18
GL-000175,LOC-01,5100,Food COGS,2024-06-27,-599.5
GL-000176,LOC-01,6000,Labor - Hourly,2024-06-27,-536.85
GL-000177,LOC-01,5100,Food COGS,2024-06-28,-1145.98
GL-000178,LOC-01,6000,Labor - Hourly,2024-06-28,-1048.17
GL-000179,LOC-01,5100,Food COGS,2024-06-29,-643.39
GL-000180,LOC-01,6000,Labor - Hourly,2024-06-29,-588.47
GL-000181,LOC-01,5100,Food COGS,2024-06-30,-977.49
GL-000182,LOC-01,6000,Labor - Hourly,2024-06-30,-787.9
GL-000183,LOC-02,5100,Food COGS,2024-04-01,-529.74
GL-000184,LOC-02,6000,Labor - Hourly,2024-04-01,-420.59
GL-000185,LOC-02,5100,Food COGS,2024-04-02,-234.07
GL-000186,LOC-02,6000,Labor - Hourly,2024-04-02,-219.7
GL-000187,LOC-02,5100,Food COGS,2024-04-03,-501.53
GL-000188,LOC-02,6000,Labor - Hourly,2024-04-03,-413.42
GL-000189,LOC-02,5100,Food COGS,2024-04-04,-683.81
GL-000190,LOC-02,6000,Labor - Hourly,2024-04-04,-575.49
GL-000191,LOC-02,5100,Food COGS,2024-04-05,-1004.28
GL-000192,LOC-02,6000,Labor - Hourly,2024-04-05,-939.61
GL-000193,LOC-02,5100,Food COGS,2024-04-06,-995.99
GL-000194,LOC-02,6000,Labor - Hourly,2024-04-06,-853.71
GL-000195,LOC-02,5100,Food COGS,2024-04-07,-968.42
GL-000196,LOC-02,6000,Labor - Hourly,2024-04-07,-958.89
GL-000197,LOC-02,5100,Food COGS,2024-04-08,-616.45
GL-000198,LOC-02,6000,Labor - Hourly,2024-04-08,-472.76
GL-000199,LOC-02,5100,Food COGS,2024-04-09,-508.17
GL-000200,LOC-02,6000,Labor - Hourly,2024-04-09,-470.47
GL-000201,LOC-02,5100,Food COGS,2024-04-10,-322.33
GL-000202,LOC-02,6000,Labor - Hourly,2024-04-10,-288.56
GL-000203,LOC-02,5100,Food COGS,2024-04-11,-308.33
GL-000204,LOC-02,6000,Labor - Hourly,2024-04-11,-237.44
GL-000205,LOC-02,5100,Food COGS,2024-04-12,-1020.64
GL-000206,LOC-02,6000,Labor - Hourly,2024-04-12,-910.09
GL-000207,LOC-02,5100,Food COGS,2024-04-13,-846.64
GL-000208,LOC-02,6000,Labor - Hourly,2024-04-13,-791.85
GL-000209,LOC-02,5100,Food COGS,2024-04-14,-828.34
GL-000210,LOC-02,6000,Labor - Hourly,2024-04-14,-816.38
GL-000211,LOC-02,5100,Food COGS,2024-04-15,-595.16
GL-000212,LOC-02,6000,Labor - Hourly,2024-04-15,-563.16
GL-000213,LOC-02,5100,Food COGS,2024-04-16,-510.99
GL-000214,LOC-02,6000,Labor - Hourly,2024-04-16,-447.07
GL-000215,LOC-02,5100,Food COGS,2024-04-17,-707.1
GL-000216,LOC-02,6000,Labor - Hourly,2024-04-17,-600.19
GL-000217,LOC-02,5100,Food COGS,2024-04-18,-468.51
GL-000218,LOC-02,6000,Labor - Hourly,2024-04-18,-456.34
GL-000219,LOC-02,5100,Food COGS,2024-04-19,-583.6
GL-000220,LOC-02,6000,Labor - Hourly,2024-04-19,-465.12
GL-000221,LOC-02,5100,Food COGS,2024-04-20,-751.98
GL-000222,LOC-02,6000,Labor - Hourly,2024-04-20,-716.35
GL-000223,LOC-02,5100,Food COGS,2024-04-21,-928.72
GL-000224,LOC-02,6000,Labor - Hourly,2024-04-21,-688.79
GL-000225,LOC-02,5100,Food COGS,2024-04-22,-583.4
GL-000226,LOC-02,6000,Labor - Hourly,2024-04-22,-539.53
GL-000227,LOC-02,5100,Food COGS,2024-04-23,-737.08
GL-000228,LOC-02,6000,Labor - Hourly,2024-04-23,-592.58
GL-000229,LOC-02,5100,Food COGS,2024-04-24,-336.96
GL-000230,LOC-02,6000,Labor - Hourly,2024-04-24,-268.38
GL-000231,LOC-02,5100,Food COGS,2024-04-25,-366.3
GL-000232,LOC-02,6000,Labor - Hourly,2024-04-25,-326.23
GL-000233,LOC-02,5100,Food COGS,2024-04-26,-1172.51
GL-000234,LOC-02,6000,Labor - Hourly,2024-04-26,-1103.7
GL-000235,LOC-02,5100,Food COGS,2024-04-27,-516.06
GL-000236,LOC-02,6000,Labor - Hourly,2024-04-27,-491.57
GL-000237,LOC-02,5100,Food COGS,2024-04-28,-800.16
GL-000238,LOC-02,6000,Labor - Hourly,2024-04-28,-668.86
GL-000239,LOC-02,5100,Food COGS,2024-04-29,-422.6
GL-000240,LOC-02,6000,Labor - Hourly,2024-04-29,-345.32
GL-000241,LOC-02,5100,Food COGS,2024-04-30,-626.46
GL-000242,LOC-02,6000,Labor - Hourly,2024-04-30,-565.76
GL-000243,LOC-02,5100,Food COGS,2024-05-01,-627.78
GL-000244,LOC-02,6000,Labor - Hourly,2024-05-01,-503.98
GL-000245,LOC-02,5100,Food COGS,2024-05-02,-802.28
GL-000246,LOC-02,6000,Labor - Hourly,2024-05-02,-603.1
GL-000247,LOC-02,5100,Food COGS,2024-05-03,-1251.26
GL-000248,LOC-02,6000,Labor - Hourly,2024-05-03,-1193.62
GL-000249,LOC-02,5100,Food COGS,2024-05-04,-846.0
GL-000250,LOC-02,6000,Labor - Hourly,2024-05-04,-679.69
GL-000251,LOC-02,5100,Food COGS,2024-05-05,-1151.19
GL-000252,LOC-02,6000,Labor - Hourly,2024-05-05,-852.54
GL-000253,LOC-02,5100,Food COGS,2024-05-06,-347.09
GL-000254,LOC-02,6000,Labor - Hourly,2024-05-06,-264.4
GL-000255,LOC-02,5100,Food COGS,2024-05-07,-714.54
GL-000256,LOC-02,6000,Labor - Hourly,2024-05-07,-605.47
GL-000257,LOC-02,5100,Food COGS,2024-05-08,-885.49
GL-000258,LOC-02,6000,Labor - Hourly,2024-05-08,-790.51
GL-000259,LOC-02,5100,Food COGS,2024-05-09,-351.26
GL-000260,LOC-02,6000,Labor - Hourly,2024-05-09,-310.0
GL-000261,LOC-02,5100,Food COGS,2024-05-10,-540.19
GL-000262,LOC-02,6000,Labor - Hourly,2024-05-10,-443.79
GL-000263,LOC-02,5100,Food COGS,2024-05-11,-857.17
GL-000264,LOC-02,6000,Labor - Hourly,2024-05-11,-759.19
GL-000265,LOC-02,5100,Food COGS,2024-05-12,-695.0
GL-000266,LOC-02,6000,Labor - Hourly,2024-05-12,-648.43
GL-000267,LOC-02,5100,Food COGS,2024-05-13,-469.75
GL-000268,LOC-02,6000,Labor - Hourly,2024-05-13,-454.9
GL-000269,LOC-02,5100,Food COGS,2024-05-14,-273.26
GL-000270,LOC-02,6000,Labor - Hourly,2024-05-14,-233.56
GL-000271,LOC-02,5100,Food COGS,2024-05-15,-388.73
GL-000272,LOC-02,6000,Labor - Hourly,2024-05-15,-383.45
GL-000273,LOC-02,5100,Food COGS,2024-05-16,-651.52
GL-000274,LOC-02,6000,Labor - Hourly,2024-05-16,-611.8
GL-000275,LOC-02,5100,Food COGS,2024-05-17,-797.2
GL-000276,LOC-02,6000,Labor - Hourly,2024-05-17,-698.39
GL-000277,LOC-02,5100,Food COGS,2024-05-18,-774.21
GL-000278,LOC-02,6000,Labor - Hourly,2024-05-18,-662.99
GL-000279,LOC-02,5100,Food COGS,2024-05-19,-575.47
GL-000280,LOC-02,6000,Labor - Hourly,2024-05-19,-464.63
GL-000281,LOC-02,5100,Food COGS,2024-05-20,-524.32
GL-000282,LOC-02,6000,Labor - Hourly,2024-05-20,-457.19
GL-000283,LOC-02,5100,Food COGS,2024-05-21,-708.56
GL-000284,LOC-02,6000,Labor - Hourly,2024-05-21,-706.57
GL-000285,LOC-02,5100,Food COGS,2024-05-22,-420.63
GL-000286,LOC-02,6000,Labor - Hourly,2024-05-22,-346.15
GL-000287,LOC-02,5100,Food COGS,2024-05-23,-471.07
GL-000288,LOC-02,6000,Labor - Hourly,2024-05-23,-424.08
GL-000289,LOC-02,5100,Food COGS,2024-05-24,-1048.09
GL-000290,LOC-02,6000,Labor - Hourly,2024-05-24,-910.76
GL-000291,LOC-02,5100,Food COGS,2024-05-25,-852.91
GL-000292,LOC-02,6000,Labor - Hourly,2024-05-25,-717.33
GL-000293,LOC-02,5100,Food COGS,2024-05-26,-571.93
GL-000294,LOC-02,6000,Labor - Hourly,2024-05-26,-477.87
GL-000295,LOC-02,5100,Food COGS,2024-05-27,-546.53
GL-000296,LOC-02,6000,Labor - Hourly,2024-05-27,-441.5
GL-000297,LOC-02,5100,Food COGS,2024-05-28,-494.17
GL-000298,LOC-02,6000,Labor - Hourly,2024-05-28,-470.28
GL-000299,LOC-02,5100,Food COGS,2024-05-29,-515.99
GL-000300,LOC-02,6000,Labor - Hourly,2024-05-29,-408.37
GL-000301,LOC-02,5100,Food COGS,2024-05-30,-750.63
GL-000302,LOC-02,6000,Labor - Hourly,2024-05-30,-662.92
GL-000303,LOC-02,5100,Food COGS,2024-05-31,-755.6
GL-000304,LOC-02,6000,Labor - Hourly,2024-05-31,-626.28
GL-000305,LOC-02,5100,Food COGS,2024-06-01,-794.9
GL-000306,LOC-02,6000,Labor - Hourly,2024-06-01,-716.95
GL-000307,LOC-02,5100,Food COGS,2024-06-02,-592.36
GL-000308,LOC-02,6000,Labor - Hourly,2024-06-02,-530.79
GL-000309,LOC-02,5100,Food COGS,2024-06-03,-330.16
GL-000310,LOC-02,6000,Labor - Hourly,2024-06-03,-298.19
GL-000311,LOC-02,5100,Food COGS,2024-06-04,-628.08
GL-000312,LOC-02,6000,Labor - Hourly,2024-06-04,-594.76
GL-000313,LOC-02,5100,Food COGS,2024-06-05,-495.73
GL-000314,LOC-02,6000,Labor - Hourly,2024-06-05,-462.91
GL-000315,LOC-02,5100,Food COGS,2024-06-06,-300.06
GL-000316,LOC-02,6000,Labor - Hourly,2024-06-06,-241.12
GL-000317,LOC-02,5100,Food COGS,2024-06-07,-498.74
GL-000318,LOC-02,6000,Labor - Hourly,2024-06-07,-528.01
GL-000319,LOC-02,5100,Food COGS,2024-06-08,-528.68
GL-000320,LOC-02,6000,Labor - Hourly,2024-06-08,-534.43
GL-000321,LOC-02,5100,Food COGS,2024-06-09,-788.03
GL-000322,LOC-02,6000,Labor - Hourly,2024-06-09,-701.91
GL-000323,LOC-02,5100,Food COGS,2024-06-10,-383.41
GL-000324,LOC-02,6000,Labor - Hourly,2024-06-10,-300.19
GL-000325,LOC-02,5100,Food COGS,2024-06-11,-547.66
GL-000326,LOC-02,6000,Labor - Hourly,2024-06-11,-509.91
GL-000327,LOC-02,5100,Food COGS,2024-06-12,-441.8
GL-000328,LOC-02,6000,Labor - Hourly,2024-06-12,-362.7
GL-000329,LOC-02,5100,Food COGS,2024-06-13,-892.7
GL-000330,LOC-02,6000,Labor - Hourly,2024-06-13,-751.23
GL-000331,LOC-02,5100,Food COGS,2024-06-14,-993.65
GL-000332,LOC-02,6000,Labor - Hourly,2024-06-14,-842.42
GL-000333,LOC-02,5100,Food COGS,2024-06-15,-611.04
GL-000334,LOC-02,6000,Labor - Hourly,2024-06-15,-584.98
GL-000335,LOC-02,5100,Food COGS,2024-06-16,-1306.51
GL-000336,LOC-02,6000,Labor - Hourly,2024-06-16,-1118.56
GL-000337,LOC-02,5100,Food COGS,2024-06-17,-220.62
GL-000338,LOC-02,6000,Labor - Hourly,2024-06-17,-168.41
GL-000339,LOC-02,5100,Food COGS,2024-06-18,-592.62
GL-000340,LOC-02,6000,Labor - Hourly,2024-06-18,-583.91
GL-000341,LOC-02,5100,Food COGS,2024-06-19,-681.92
GL-000342,LOC-02,6000,Labor - Hourly,2024-06-19,-642.63
GL-000343,LOC-02,5100,Food COGS,2024-06-20,-366.57
GL-000344,LOC-02,6000,Labor - Hourly,2024-06-20,-293.78
GL-000345,LOC-02,5100,Food COGS,2024-06-21,-715.48
GL-000346,LOC-02,6000,Labor - Hourly,2024-06-21,-630.56
GL-000347,LOC-02,5100,Food COGS,2024-06-22,-569.74
GL-000348,LOC-02,6000,Labor - Hourly,2024-06-22,-516.06
GL-000349,LOC-02,5100,Food COGS,2024-06-23,-558.41
GL-000350,LOC-02,6000,Labor - Hourly,2024-06-23,-509.46
GL-000351,LOC-02,5100,Food COGS,2024-06-24,-455.49
GL-000352,LOC-02,6000,Labor - Hourly,2024-06-24,-445.7
GL-000353,LOC-02,5100,Food COGS,2024-06-25,-531.14
GL-000354,LOC-02,6000,Labor - Hourly,2024-06-25,-510.1
GL-000355,LOC-02,5100,Food COGS,2024-06-26,-526.7
GL-000356,LOC-02,6000,Labor - Hourly,2024-06-26,-417.56
GL-000357,LOC-02,5100,Food COGS,2024-06-27,-532.19
GL-000358,LOC-02,6000,Labor - Hourly,2024-06-27,-436.62
GL-000359,LOC-02,5100,Food COGS,2024-06-28,-1002.33
GL-000360,LOC-02,6000,Labor - Hourly,2024-06-28,-750.42
GL-000361,LOC-02,5100,Food COGS,2024-06-29,-467.7
GL-000362,LOC-02,6000,Labor - Hourly,2024-06-29,-370.68
GL-000363,LOC-02,5100,Food COGS,2024-06-30,-799.11
GL-000364,LOC-02,6000,Labor - Hourly,2024-06-30,-683.34
GL-000365,LOC-03,5100,Food COGS,2024-04-01,-636.2
GL-000366,LOC-03,6000,Labor - Hourly,2024-04-01,-559.92
GL-000367,LOC-03,5100,Food COGS,2024-04-02,-366.51
GL-000368,LOC-03,6000,Labor - Hourly,2024-04-02,-312.27
GL-000369,LOC-03,5100,Food COGS,2024-04-03,-648.43
GL-000370,LOC-03,6000,Labor - Hourly,2024-04-03,-546.92
GL-000371,LOC-03,5100,Food COGS,2024-04-04,-393.6
GL-000372,LOC-03,6000,Labor - Hourly,2024-04-04,-338.91
GL-000373,LOC-03,5100,Food COGS,2024-04-05,-910.56
GL-000374,LOC-03,6000,Labor - Hourly,2024-04-05,-733.05
GL-000375,LOC-03,5100,Food COGS,2024-04-06,-522.54
GL-000376,LOC-03,6000,Labor - Hourly,2024-04-06,-389.53
GL-000377,LOC-03,5100,Food COGS,2024-04-07,-865.31
GL-000378,LOC-03,6000,Labor - Hourly,2024-04-07,-734.27
GL-000379,LOC-03,5100,Food COGS,2024-04-08,-356.9
GL-000380,LOC-03,6000,Labor - Hourly,2024-04-08,-277.38
GL-000381,LOC-03,5100,Food COGS,2024-04-09,-305.98
GL-000382,LOC-03,6000,Labor - Hourly,2024-04-09,-250.78
GL-000383,LOC-03,5100,Food COGS,2024-04-10,-274.92
GL-000384,LOC-03,6000,Labor - Hourly,2024-04-10,-215.75
GL-000385,LOC-03,5100,Food COGS,2024-04-11,-474.83
GL-000386,LOC-03,6000,Labor - Hourly,2024-04-11,-391.61
GL-000387,LOC-03,5100,Food COGS,2024-04-12,-1225.87
GL-000388,LOC-03,6000,Labor - Hourly,2024-04-12,-929.42
GL-000389,LOC-03,5100,Food COGS,2024-04-13,-795.52
GL-000390,LOC-03,6000,Labor - Hourly,2024-04-13,-765.26
GL-000391,LOC-03,5100,Food COGS,2024-04-14,-594.67
GL-000392,LOC-03,6000,Labor - Hourly,2024-04-14,-517.75
GL-000393,LOC-03,5100,Food COGS,2024-04-15,-344.56
GL-000394,LOC-03,6000,Labor - Hourly,2024-04-15,-285.06
GL-000395,LOC-03,5100,Food COGS,2024-04-16,-301.12
GL-000396,LOC-03,6000,Labor - Hourly,2024-04-16,-255.35
GL-000397,LOC-03,5100,Food COGS,2024-04-17,-779.19
GL-000398,LOC-03,6000,Labor - Hourly,2024-04-17,-619.68
GL-000399,LOC-03,5100,Food COGS,2024-04-18,-826.81
GL-000400,LOC-03,6000,Labor - Hourly,2024-04-18,-712.8
GL-000401,LOC-03,5100,Food COGS,2024-04-19,-622.24
GL-000402,LOC-03,6000,Labor - Hourly,2024-04-19,-528.63
GL-000403,LOC-03,5100,Food COGS,2024-04-20,-717.8
